timestamp,nexo_price,btc_price,nexo_btc_ratio,ratio_sma,ratio_percentile,is_peak
2025-09-01 16:00:00.000000,1.223,108774.23,1.1243471914257631e-05,1.1354936859138563e-05,8.035714285714286,False
2025-09-01 17:00:00.000000,1.221,108927.61,1.1209279263540256e-05,1.1353574915459318e-05,4.464285714285714,False
2025-09-01 18:00:00.000000,1.225,109240.0,1.121384108385207e-05,1.1351269658992462e-05,5.059523809523809,False
2025-09-01 19:00:00.000000,1.228,109217.64,1.124360497077212e-05,1.134927229600728e-05,10.416666666666666,False
2025-09-01 20:00:00.000000,1.22,108877.38,1.1205265960661431e-05,1.134871112740174e-05,2.6785714285714284,False
2025-09-01 21:00:00.000000,1.214,107800.8,1.1261511973937111e-05,1.1348792657398415e-05,14.583333333333334,False
2025-09-01 22:00:00.000000,1.216,108444.96,1.121306144610132e-05,1.1348206619662213e-05,5.654761904761905,False
2025-09-01 23:00:00.000000,1.228,109237.42,1.1241569052070252e-05,1.1347765046814877e-05,10.416666666666666,False
2025-09-02 00:00:00.000000,1.226,109040.36,1.1243543216475071e-05,1.1347256184837812e-05,12.202380952380953,False
2025-09-02 01:00:00.000000,1.23,109313.0,1.1252092614785066e-05,1.1346853940551332e-05,15.178571428571429,False
2025-09-02 02:00:00.000000,1.236,110246.01,1.121129009566877e-05,1.1345985934597667e-05,5.654761904761905,False
2025-09-02 03:00:00.000000,1.24,110322.18,1.1239806900117456e-05,1.1345933119013443e-05,10.416666666666666,False
2025-09-02 04:00:00.000000,1.235,110310.56,1.1195664313552574e-05,1.1344940663807467e-05,0.8928571428571429,False
2025-09-02 05:00:00.000000,1.235,110209.32,1.1205948825380647e-05,1.1344284411588675e-05,3.869047619047619,False
2025-09-02 06:00:00.000000,1.242,110376.63,1.1252381958028614e-05,1.1344156097596661e-05,17.55952380952381,False
2025-09-02 07:00:00.000000,1.232,110233.92,1.1176233232021505e-05,1.1343334460241318e-05,0.8928571428571429,False
2025-09-02 08:00:00.000000,1.234,110360.0,1.118158753171439e-05,1.1342583823849322e-05,1.4880952380952381,False
2025-09-02 09:00:00.000000,1.234,110450.56,1.117241958755121e-05,1.1341917774805891e-05,0.8928571428571429,False
2025-09-02 10:00:00.000000,1.231,110246.0,1.1165937993215174e-05,1.134087388484022e-05,0.2976190476190476,False
2025-09-02 11:00:00.000000,1.226,109733.34,1.1172538810902868e-05,1.1339877077789544e-05,2.0833333333333335,False
2025-09-02 12:00:00.000000,1.218,108795.99,1.1195265560798702e-05,1.1339710007583518e-05,3.869047619047619,False
2025-09-02 13:00:00.000000,1.238,111149.99,1.1138102666495963e-05,1.1339344825416914e-05,0.2976190476190476,False
2025-09-02 14:00:00.000000,1.241,111360.01,1.1144036355600183e-05,1.1338365061411526e-05,0.8928571428571429,False
2025-09-02 15:00:00.000000,1.238,110829.17,1.1170344413839784e-05,1.1337714314553926e-05,2.0833333333333335,False
2025-09-02 16:00:00.000000,1.247,110785.85,1.1255950105541456e-05,1.1337492013275625e-05,22.916666666666668,False
2025-09-02 17:00:00.000000,1.253,110914.0,1.1297040950646444e-05,1.1337683577930068e-05,38.98809523809524,False
2025-09-02 18:00:00.000000,1.252,110646.47,1.1315318057593705e-05,1.1337821004120383e-05,44.94047619047619,False
2025-09-02 19:00:00.000000,1.248,110806.0,1.1262928000288793e-05,1.1337579506538334e-05,26.488095238095237,False
2025-09-02 20:00:00.000000,1.252,111418.49,1.1236914088496445e-05,1.1337307398612878e-05,15.773809523809524,False
2025-09-02 21:00:00.000000,1.264,111129.57,1.1374110419036083e-05,1.1337690172538498e-05,65.17857142857143,False
2025-09-02 22:00:00.000000,1.256,111259.99,1.1288873924939234e-05,1.1337282638131246e-05,36.01190476190476,False
2025-09-02 23:00:00.000000,1.256,111240.01,1.1290901538034742e-05,1.1336851641530624e-05,37.20238095238095,False
2025-09-03 00:00:00.000000,1.253,111339.98,1.1253819158221512e-05,1.133638042006989e-05,22.916666666666668,False
2025-09-03 01:00:00.000000,1.254,111176.94,1.1279317455580266e-05,1.1335705608781732e-05,32.44047619047619,False
2025-09-03 02:00:00.000000,1.253,111372.0,1.125058362963761e-05,1.1334920303865696e-05,21.13095238095238,False
2025-09-03 03:00:00.000000,1.254,111054.01,1.1291802970464551e-05,1.1334552309893999e-05,39.583333333333336,False
2025-09-03 04:00:00.000000,1.25,111020.68,1.1259163608077342e-05,1.133381575030866e-05,25.297619047619047,False
2025-09-03 05:00:00.000000,1.249,110685.57,1.1284217084485358e-05,1.1333695382571339e-05,37.20238095238095,False
2025-09-03 06:00:00.000000,1.242,110724.0,1.1217080307792347e-05,1.1333027756201657e-05,13.392857142857142,False
2025-09-03 07:00:00.000000,1.246,111099.88,1.1215133625706886e-05,1.1332748089604209e-05,13.392857142857142,False
2025-09-03 08:00:00.000000,1.248,111019.99,1.1241218811134825e-05,1.1332749838571872e-05,18.154761904761905,False
2025-09-03 09:00:00.000000,1.251,111312.28,1.1238652195427137e-05,1.1332500798417244e-05,17.55952380952381,False
2025-09-03 10:00:00.000000,1.256,111449.99,1.1269628646893552e-05,1.1332106479629975e-05,32.44047619047619,False
